id,user_id,title,message,type,is_read,link,created_at
1,1,มีรีวิวใหม่รอการอนุมัติ,มีนักศึกษาส่งรีวิวสำหรับ 'เวิร์คพริ้นท์เซ็นเตอร์' รอการตรวจสอบจาก Admin,info,0,/admin,2026-08-24 15:30:13
30001,1,มีรีวิวใหม่รอการอนุมัติ,"มีนักศึกษาส่งรีวิวสำหรับ 'บริษัท เอมิ.โปร.จำกัด Ami. Pro. Corp., Ltd.' รอการตรวจสอบจาก Admin",info,0,/admin,2026-08-25 12:10:52
60001,1,มีรีวิวใหม่รอการอนุมัติ,มีนักศึกษาส่งรีวิวสำหรับ 'ร้าน พีซี คอม หาดใหญ่ (2002)' รอการตรวจสอบจาก Admin,info,0,/admin,2026-08-25 12:30:23
60002,1,มีรีวิวใหม่รอการอนุมัติ,มีนักศึกษาส่งรีวิวสำหรับ 'ท่าอากาศยานนานาชาติหาดใหญ่' รอการตรวจสอบจาก Admin,info,0,/admin,2026-08-25 12:34:40
60003,1,มีรีวิวใหม่รอการอนุมัติ,มีนักศึกษาส่งรีวิวสำหรับ 'เวิร์คพริ้นท์เซ็นเตอร์' รอการตรวจสอบจาก Admin,info,0,/admin,2026-08-25 12:37:52
60004,1,มีโพสต์ใหม่ใน Community รอการอนุมัติ,มีโพสต์ใหม่ 'แอร์เย็น' จากนักศึกษา รอการตรวจสอบจาก Admin,info,0,/admin,2026-08-25 12:39:20
60005,1,มีโพสต์ใหม่ใน Community รอการอนุมัติ,มีโพสต์ใหม่ 'ฟหกฟกฟไกฟหก' จากนักศึกษา รอการตรวจสอบจาก Admin,info,0,/admin,2026-08-25 12:43:07
60006,1,มีโพสต์ใหม่ใน Community รอการอนุมัติ,มีโพสต์ใหม่ 'การเตรียมตัวก่อนไปฝึกงาน' จากนักศึกษา รอการตรวจสอบจาก Admin,info,1,/admin,2026-08-25 12:44:33
60007,1,มีโพสต์ใหม่ใน Community รอการอนุมัติ,มีโพสต์ใหม่ 'AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA' จากนักศึกษา รอการตรวจสอบจาก Admin,info,1,/admin,2026-08-25 12:45:28
60008,30002,มีโพสต์ใหม่ใน Community รอการอนุมัติ,มีโพสต์ใหม่ 'AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA' จากนักศึกษา รอการตรวจสอบจาก Admin,info,0,/admin,2026-08-25 12:45:29
60009,1,มีรีวิวใหม่รอการอนุมัติ,"มีนักศึกษาส่งรีวิวสำหรับ 'บริษัท เอมิ.โปร.จำกัด Ami. Pro. Corp., Ltd.' รอการตรวจสอบจาก Admin",info,0,/admin,2026-08-25 12:53:42
60010,30002,มีรีวิวใหม่รอการอนุมัติ,"มีนักศึกษาส่งรีวิวสำหรับ 'บริษัท เอมิ.โปร.จำกัด Ami. Pro. Corp., Ltd.' รอการตรวจสอบจาก Admin",info,0,/admin,2026-08-25 12:53:43
60011,1,มีสถานประกอบการใหม่ลงทะเบียน,สถานประกอบการ 'หมอยจำหด' ลงทะเบียนเข้าสู่ระบบ รอการตรวจสอบและอนุมัติประกาศงาน,info,0,/admin,2026-08-25 13:25:22
60012,30002,มีสถานประกอบการใหม่ลงทะเบียน,สถานประกอบการ 'หมอยจำหด' ลงทะเบียนเข้าสู่ระบบ รอการตรวจสอบและอนุมัติประกาศงาน,info,0,/admin,2026-08-25 13:25:23
60013,2,รีวิวของคุณได้รับการอนุมัติ,รีวิวของคุณได้รับการอนุมัติและเผยแพร่เรียบร้อยแล้ว,info,1,/insights,2026-08-25 13:30:58
60014,1,มีรีวิวใหม่รอการอนุมัติ,"มีนักศึกษาส่งรีวิวสำหรับ 'Sarisa Marine.Co.,Ltd' รอการตรวจสอบจาก Admin",info,0,/admin,2026-08-25 13:33:39
60015,30002,มีรีวิวใหม่รอการอนุมัติ,"มีนักศึกษาส่งรีวิวสำหรับ 'Sarisa Marine.Co.,Ltd' รอการตรวจสอบจาก Admin",info,0,/admin,2026-08-25 13:33:40
60016,1,มีรีวิวใหม่รอการอนุมัติ,มีนักศึกษาส่งรีวิวสำหรับ 'เวิร์คพริ้นท์เซ็นเตอร์' รอการตรวจสอบจาก Admin,info,1,/admin,2026-08-25 13:34:27
